"uri","indexed_at","text","like_count","reply_count","repost_count"
"at://did:plc:gd2ppw7t3oe4mht3kgf35gkr/app.bsky.feed.post/3mjzg32rebt2h",2026-04-21 16:35:50.152,"Chris Wright is a climate arsonist whose position can be summarized by saying, yeah, climate change is happening and it's totally worth it.
coloradonewsline.com/2025/03/27/c...",0,0,0
"at://did:plc:qikwmxmzqp67n4ijgop5xiwp/app.bsky.feed.post/3mjzfznj3gs2e",2026-04-21 16:35:07.347,"Trump, Maga and the GOP all claim that there’s no climate change and everything is peachy… 

I wonder if we can hold them all legally accountable for neglect, dereliction of duty and being stupid.

Strict water use rules sweep the nation ahead of summer

www.usatoday.com/story/news/w...",0,0,0
"at://did:plc:e5fcw4r2w7ngevzakcah344p/app.bsky.feed.post/3mjzfxvbmgk2c",2026-04-21 16:34:04.949,"The consensus among exoerts is that the jet stream is slower, more prone to stalling, & shifting poleward on average — with real consequences for extreme weather. There's some debate about whether that ""waviness"" is due to climate change, but from what I've read, most scientists think it is.",0,0,0
"at://did:plc:tphwva2cbijcvomqj4lz77sw/app.bsky.feed.post/3mjzfxm6woc2n",2026-04-21 16:33:54.254,"I heard a bit on NPR about Fed chair nominee Kevin Warsh and how he doesn't want the Fed to ""Get into political issues, such as climate change""

And I just want to hit my head against the desk

CLIMATE CHANGE IS NOT A POLITICAL ISSUE. IT IS A FACT",2,1,1
"at://did:plc:e5fcw4r2w7ngevzakcah344p/app.bsky.feed.post/3mjzfxegsak2c",2026-04-21 16:33:46.248,"The consensus among exoerts is that the jet stream is slower, more prone to stalling, & shifting poleward on average — with real consequences for extreme weather. There's some debate about whether that ""waviness"" is due to climate change, but from what I've read, most scientists think it is.",1,0,0
"at://did:plc:47iq6pdex2rkhlt6iqc6mqrd/app.bsky.feed.post/3mjzfwmgs322d",2026-04-21 16:33:23.057,"They understand jet stream changes... but it couldn't POSSIBLY be changing because of CLIMATE CHANGE???",0,0,0
"at://did:plc:joaochzleymvhsvfz6h7cz3t/app.bsky.feed.post/3mjzfwbwzwk23",2026-04-21 16:33:10.148,"Wright is just blatantly lying.

While some periods show relative stability, long-term data indicates a significant downward trend, with snowpack in parts of the Colorado River Basin decreasing by roughly 41% between 1982 and 2016 due to climate change",1,0,1
"at://did:plc:rwuqizds4m5nwuvmnhgbriol/app.bsky.feed.post/3mjzfu5l3d42z",2026-04-21 16:31:58.754,"Netanyahu would be arrested if he came to Hungary, says new PM

https://www.europesays.com/people/36275/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…",0,0,0
"at://did:plc:svss75ujrjvvkmqvbd7jqpem/app.bsky.feed.post/3mjzftx7ue22c",2026-04-21 16:31:52.745,"yep, I said it too. Climate change ( loss if water and arable land) will force millions to migrate to urban centers not equipped to deal with the population overload,collapsing infrastructure. Think of tribal warfare coming Haves vs the have nots. Heck we're already there",0,0,0
"at://did:plc:b4bjhxkkt4gm7brqmlhpvrys/app.bsky.feed.post/3mjzftnr6sk2z",2026-04-21 16:31:40.853,"i, on the other hand, my natural inclination would be to only start a talk with ""wow, the weather, huh?"" if i wanted to talk about, say, climate change and didn't know a more substantive onramp into the issue for the individual i am speaking to. again, i am gathering that this is atypical for most.",0,1,0
"at://did:plc:vizwdor43adw3277u2kkrssd/app.bsky.feed.post/3mjzfr4ximw23",2026-04-21 16:30:17.347,"Nato fighter jets scrambled to intercept Russian military aircraft flying over Baltic Sea

https://www.europesays.com/uk/909229/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…#uk #news #uknews",0,0,0
"at://did:plc:nqpee4vara243ydyzbjjrrwk/app.bsky.feed.post/3mjzfqrody22h",2026-04-21 16:30:10.153,"time.com/6273684/eart... Never mind climate change or pollution--the issue runs much wider and deeper and calls us to all these and more.",1,0,1
"at://did:plc:i76zhajeob74azfizc6xj5e3/app.bsky.feed.post/3mjzfqf34ns2e",2026-04-21 16:29:55.252,"Okay, Chris, so why did the path of the jet stream shift last year?

Could it be due to fluctuations in the polar vortex caused by shrinking polar ice caps, in turn caused by climate change?",8,0,2
"at://did:plc:3zddnsbu7jhtg5nj7ejlkxg3/app.bsky.feed.post/3mjzfmkvfdc2h",2026-04-21 16:27:44.452,"The path of the jet stream has changed due to climate change.",24,1,2
"at://did:plc:baavcnpvtgbakiigh6xjahzr/app.bsky.feed.post/3mjzfkzzs6c26",2026-04-21 16:26:52.553,"All of this.

AI as a concept is not the problem. It is the idea of generating something out of nothing off the backs of millions of stolen data points while it hastens climate change.",3,0,0
"at://did:plc:wb5auk6csbbwdjuyznlemvdv/app.bsky.feed.post/3mjzfkksx3224",2026-04-21 16:26:37.858,"The path of the jet stream is also subject to climate change though",6,0,0
"at://did:plc:a4evbe3n4ddutgos233daiec/app.bsky.feed.post/3mjzfikrdbb2s",2026-04-21 16:25:30.156,"**Climate Centre: Wet and Chilly Pattern to End April, Start May**

Although spring started with above average temperatures across Southern Ontario, latest computer models are pointing towards a change ahead to end the month of April.",0,1,0
"at://did:plc:4llrhdclvdlmmynkwsmg5tdc/app.bsky.feed.post/3mjzfii3f6k2t",2026-04-21 16:25:27.55,"Chris Wright insists that collapsing snow pack in Colorado is the result of ""the path of the jet stream last year,"" not climate change",205,51,60
"at://did:plc:pkmog5aafaylxt5zoxbxrfyi/app.bsky.feed.post/3mjzfbbtbv22o",2026-04-21 16:21:25.096,"it's just that he (and many other artists) are deluded into thinking that ""politics"" is a dirty word that they don't want to ~taint~ their work, even when it is about inherently political concepts like climate change and interspecies relations",2,0,0
"at://did:plc:fqxyhlef3qcwmyrcizxhieky/app.bsky.feed.post/3mjzfavfpa22a",2026-04-21 16:21:14.245,"Eco- and climate- friendly solutions can help deal with this increasing pest pressure. Here's how climate change affects our agriculture ➡️ lnkd.in/eTh78v4a

#pestcontrol #pestpressure #climatechange #agpests #climatefriendly",0,0,0
"at://did:plc:ptsntkseyinfn7mc5k2rideh/app.bsky.feed.post/3mjzfap5e3s2o",2026-04-21 16:21:06.153,"Let Promote Liz Cheney. The MIC big spender, pro-war, pro-oil, anti-climate change, anti-gun control, anti-abortion, pro-single state Israel, pro-first-strike-nukes, pro-forever-wars.
Big tent!
Well, what about this guy in New York who just wants people to afford housing and transportation.
What? No",0,0,0
"at://did:plc:hffahjljoarfcbproxka4izz/app.bsky.feed.post/3mjzf6pciys2i",2026-04-21 16:19:58.751,"Lead the world in what? Climate change?",0,0,0
"at://did:plc:2zwzouqjg5bcdd2f6yzvgsgr/app.bsky.feed.post/3mjzf6eu7qc2z",2026-04-21 16:19:44.656,"From On the Brink

Climate Change Is Increasing the Breakdown Rate of the Greenhouse Gas Nitrous Oxide in the Atmosphere

Acceleration of the breakdown rate of nitrous oxide increases uncertainties in projections of global warming.

open.substack.com/pub/robertli...

#ClimateChange #GlobalWarming",0,0,0
"at://did:plc:5zpoj3nyh2mevkvr6pe6bubu/app.bsky.feed.post/3mjzf4dtyqb2f",2026-04-21 16:18:39.948,"Climate change may soon reshape sovereign debt markets. New research shows rising physical risks could drive downgrades, higher borrowing costs, and debt spikes (US 151%, UK 114% by 2050). Climate risk is systemic and increasingly priced into global finance.
http://netzeroinvest...",0,0,0
"at://did:plc:ldsuev7y6bv42gxn7b4kk24i/app.bsky.feed.post/3mjzez6ltrs2y",2026-04-21 16:16:55.247,"I expect climate change will result in above normal summer temps... 
i'd rather this chilly weather to be honest!",0,0,0
"at://did:plc:2cy5d5byplisur4y7ppkz5nh/app.bsky.feed.post/3mjzexpwufc2f",2026-04-21 16:16:04.952,"""Jen you keep mentioning climate change and then leave Morocco and Japan and Macau and Hong Kong untouched?"" shut up

#RWTH3",0,1,0
"at://did:plc:2lqv6lghfhc6mdqr5hi6e2v3/app.bsky.feed.post/3mjzeu6fygs2m",2026-04-21 16:14:08.452,"Even without climate change, I can't  believe the current crisis hasn't put this issue to bed. The sooner we get off oil, the better.",0,0,0
"at://did:plc:yczik22zrt52j7oas5lfh23i/app.bsky.feed.post/3mjzesp7p6k22",2026-04-21 16:13:16.559,"Catch ASBN at SF Climate Week!

📍 A Working Session for Mission-Driven Leaders Who Chose the Harder Path | Thurs, 4.23 (3:30–6:30 pm PST) 🔗 luma.com/trxlwg5s
📍 How Businesses Can Impact Change Panel + Lunch | Fri, 4.24 (11 am–1 pm PST) 🔗 luma.com/ax2nwkmn",0,0,0
"at://did:plc:lqwihsassnzkba6w2xamrga6/app.bsky.feed.post/3mjzervgk2s2b",2026-04-21 16:12:48.765,"""... scientists must explain complex environmental realities to... people whose livelihoods, identities, cultures, and futures are tied to forests. Climate change, invasive species, and land exploitation all coincide with... approaches that have deeply social, political, and economic implications.""",2,0,0
"at://did:plc:qsrua7oncgpowslu5ckw2nwo/app.bsky.feed.post/3mjzeknvyt225",2026-04-21 16:08:44.848,"It's not everyday you change a life! Over 2 billion underbanked people worldwide are a single major climate event away from losing everything. Learn more about how Kiva is supporting the communities most at risk - and how your action today plays a role. www.kiva.org?utm_source=b...
#charity #give",0,0,0
"at://did:plc:ejmygam5327vsk5sot3ug5dj/app.bsky.feed.post/3mjzejnmvas2s",2026-04-21 16:08:14.746,"#CCAP - Climate Change Action Plan

noch nie von der sog. Tagesschau erwähnt

natürlich auch heute nicht

www.tagesschau.de/suche#/?sear...

#tagesschlau",1,1,2
"at://did:plc:pczmr56l4wp6nnor4ft3hjb7/app.bsky.feed.post/3mjzeh5l4os2p",2026-04-21 16:06:48.446,"Climate change and hurricanes will destroy what’s left and even rich people will not want to be there if they have to keep rebuilding their mansions after storms  flatten them. Without insurance paying since it is too expensive for insurance companies to risk the policies.",0,0,0
"at://did:plc:sk7a5u6gj2bcadlt2yyi2i4b/app.bsky.feed.post/3mjzeemef6x2r",2026-04-21 16:05:23.552,"Tomorrow, April 22, is Earth Day, but Erie County is committed year-round to addressing climate change and creating a more sustainable region.

You can read more about these efforts in a guest editorial from Deputy County Executive Lisa Chimera here ➡️ https://loom.ly/zTA0abI",0,0,0
