Date,Headline,id,text
2024-01-12,Deforestation in Brazil's savanna region surges to highest level since 2019,1,"RIO DE JANEIRO — Deforestation surged in Brazil's Cerrado, a vast tropical savanna region, by nearly 45% in 2023 compared to 2022, according to full-December data released Friday by the government's monitoring agency. The National Institute for Space Research reported that 7,852 square kilometers of vegetation had been torn down in the Cerrado biome between January and December 2023, especially in the states of Maranhao, Bahia and Tocantins. This is the highest level since 2019, when the agency recorded its first full year of deforestation in the Cerrado, home to more than 800 species of birds and nearly 200 mammals, according to the Switzerland-based non-profit World Wildlife Fund, or 30% of the nation's total biodiversity. Since taking office a year ago, President Luiz Inácio Lula da Silva has halved Amazon deforestation, which reached a 15-year high under his predecessor, Jair Bolsonaro. Even though results have been uneven, the leftist leader has promised to promote development in the region that makes sustainable use of its resources. Unlike in the Amazon, most deforestation in the Cerrado occurs on private land and part of it is legal, said Ane Alencar, science director at the Amazon Environmental Research Institute, or IPAM, a Brazilian nonprofit. Since a vast majority of the federal government's operations are in public forested areas, other actions must be taken, she said. In the Cerrado, land owners are allowed to cut down between 65% and 80% of trees on their properties, compared to 20% in the Amazon, which also has a lot more protected areas, such as natural reserves and Indigenous territories. “Many people are saying that the Cerrado is being offered as a sacrifice,” said Alencar, the IPAM science director. “Internationally, the Cerrado is not very well known. If it had a name like the Amazon, we would have more (public) policies that benefit the conservation of the biome.” Some of the most emblematic animals include jaguars, giant armadillos and anteaters, tapirs and maned wolves. The region is also one of Brazil’s major water reserves. The situation in the Cerrado comes in contrast with Lula's vow to end net deforestation by 2030 — two years beyond his current term. Brazil is hiring new personnel for its understaffed environmental agencies and the nation also announced in September that it will provide financial support to municipalities that have most reduced deforestation. The measure, however, only applies to the Amazon region, not the Cerrado."
2024-03-29,France's Macron embraces Brazil's Lula — and the memes poking fun at their 'wedding',2,"RIO DE JANEIRO — If social media is to be believed, French President Emmanuel Macron's trip to Brazil that ended Thursday left him swooning. Pictures showed him and his Brazilian counterpart, Luiz Inácio Lula da Silva, ambling through the Amazon and posing beneath the soaring canopy in white button-down shirts. Then there they were again, standing close and clasping hands on a boat as Macron looked adoringly at Lula, both leaders' faces lit by a gentle sun. There were hugs and handshakes aplenty; smiles and selfies, too. Lula on Thursday bestowed the highest honor for a non-citizen on Macron, draping a medal around his neck. Brazilian social media gobbled up the bonhomie with gusto, and users posted photos of the duo that many said looked more like a wedding album than a state visit. On the last evening of his trip, Macron joined in. “Some people compared the images of my visit to Brazil with those of a wedding, and I say to them: It was a wedding!” he posted on X along with a photo of himself and Lula photoshopped onto the movie poster from “La La Land” in place of Ryan Gosling and Emma Stone. “France loves Brazil and Brazil loves France!” Lula replied to his post with the flags of their two nations and an emoji of swirling hearts. Their meeting represented something of a rapprochement after relations soured between Macron and Lula's predecessor, far-right President Jair Bolsonaro, as Amazon deforestation surged to a 15-year high on his watch. And during 2023, the first year of his latest presidential term, Lula irked European leaders with claims that both Ukraine and Russia had decided to go to war and that the U.S. and European Union were “stimulating” the fighting. That drew sharp rebukes from both. Macron's absence had also been noticed at the Amazon Summit in the Brazilian city of Belem last year. He instead sent France's ambassador to Brazil, representing its Amazonian territory of French Guiana. Deforestation in Lula’s first year in office fell by about half, to a five-year low. The first day of Macron's visit took him precisely to Belem, which will host the COP30 climate conference in 2025. He and Lula announced a plan to spend 1 billion euros ($1.1 billion) in the Amazon, including parts of the rainforest in French Guiana. The next day, they launched a submarine built with French technology at a shipyard outside Rio de Janeiro. It wasn't all roses. Addressing executives in Sao Paulo, Macron criticized the trade deal that Lula is pushing for the EU and South America's Mercosur bloc, saying it is “terrible” and outdated and needs reworking to take climate change into account. Macron has been the most outspoken among European leaders in opposing the trade deal. Lula told reporters Thursday that the proposal as it stands is much more promising. Before Macron's departure, Lula gifted him with five of Brazil's best cheeses, so that “he can tell me what he thought of them,” the Brazilian leader wrote Thursday night on X. Macron, for his part, didn't immediately comment."
2023-12-14,"Brazil’s Congress Weakens Protection of Indigenous Lands, Defying Lula",3,"While Brazil vows to fight climate change, lawmakers approved a law making it harder for Indigenous tribes to block deforestation, overriding a veto by President Luiz Inácio Lula da Silva. Brazilian officials served up an array of plans and figures at the recent COP28 climate summit in Dubai, presenting itself as a world leader, on track to protect its forests and the people who live there. But on Thursday, Brazil’s Congress approved a law that threatens Indigenous people’s rights to most of the land they inhabit or claim, potentially opening vast territories to deforestation, farming and mining. The new law requires that Indigenous people must provide concrete evidence that they occupied the land they claim on Oct. 5, 1988, when the country’s current Constitution was enacted — a requirement that many of them have little or no hope of meeting. Under the new rule, not only can Indigenous land claims currently going through the legal process be thrown out for lacking such documentation, but established legal protections for Indigenous territories can also be challenged in court and rescinded. “We have watched the entire world at COP28 saying that we need to change the direction the planet is taking,” said the leftist congressman Tarcísio Motta, who voted against the bill, “but congress has just withdrawn the rights from the people who point to the future of the planet.” Studies have repeatedly shown that protected Indigenous territories have helped prevent Amazon deforestation, meaning the forest can better store carbon to fight climate change. In September, Brazil’s Supreme Court ruled against a 1988 cutoff date for Indigenous land claims, but backers of the new law, who include powerful agricultural interests, hope it will change the legal calculus. The Congress passed the legislation last month, but President Luiz Inácio Lula da Silva quickly vetoed most of its provisions. Then on Thursday, the House and Senate overrode the president’s veto, with many of his own allies joining his opponents in voting to defy him. Lawmakers also recently passed a measure that environmentalists call the “poison bill,” which relaxes rules on pesticides, and sent it to the president. The Congress “has agreed with the agenda of the agribusiness caucus and of environmental setbacks,” said Marcio Astrini, the executive-secretary of the Climate Observatory, a network of environmental and civil society organizations in Brazil. The law on Indigenous lands is expected to take effect by next week. Legal experts expect it to be challenged in the Supreme Court, and members of Apib, a leading Indigenous rights movement in Brazil, have already prepared a request for the court to review it. Yet it could take months or more for the court to rule on the case, and environmentalists and Indigenous rights activists fear the harm that could be done by then. “We will watch total chaos in jurisprudence and threats to the lives of these vulnerable people who depend on state action and on these territories to survive”, said Beto Marubo, an Indigenous leader and advocate of Indigenous rights from the Javari Valley of the Amazon basin, home to some of the most isolated people in Brazil. Brazil has more than 1.7 million Indigenous people, according to official figures, and more than half live in the Amazon region. But only 20 percent of households with at least one Indigenous person live within designated Indigenous territories. Those who do live in the territories already struggle against illegal forest-clearing for ranching and mining, and live with legal uncertainty, but the rate of deforestation is much lower in the Indigenous territories than elsewhere. Across Brazil, 483 such territories have been granted full legal protection, and 278 others are going through the process to gain protection, according to FUNAI, a government agency. Altogether, they cover more than 1.1 million square kilometers, or about 425,000 square miles, the size of Texas and California combined, almost 14 percent of Brazil’s area. Advocacy groups say that under the new law, more than 90 percent of these lands could have protection lifted, and they have called out the government for undermining Mr. Lula’s environmental agenda, including preservation of the Amazon rainforest. “It is a very contradictory situation for the country to have a policy to cut deforestation, and, on the other hand, have a Congress that fights tirelessly to end the richest instrument we have for protecting the Amazon: the Indigenous lands,” said Mr. Astrini. Indigenous and environmental groups say that tribes with traditional lifestyles can have occupied an area for centuries without having any way to prove it. Some have had only passing contact with the developed world. Congressmen who support the law argue it is needed to give landowners confidence that their land would not be taken from them, which would also create a better business environment for agriculture. “What is happening today, with the overturning of the veto on the ‘time frame bill,’ is admirable because it brings legal certainty to those who own rural properties in Brazil,” said Márcio Bittar, a right-wing senator. But it is the Indigenous whose land has been — and is being — taken from them, their advocates say, and the law ignores their history of dispossession and marginalization. Outside of the government buildings in Brasília on Thursday, at least 100 Indigenous people and their supporters, including the government’s minister of the Indigenous Peoples, Sônia Guajajara, protested the bill as lawmakers inside voted to override the veto. Afterward, they headed to the nearby Supreme Court building to symbolically file their request for review. Flávia Milhorance reported from Rio de Janeiro and Paulo Motoryn from Brasília. Flávia Milhorance reported from Rio de Janeiro and Paulo Motoryn from Brasília.  PHOTO: Indigenous people take part in a demonstration outside the Congress in Brasília, Brazil, in April. (PHOTOGRAPH BY Carl De Souza/Agence France-Presse — Getty Images FOR THE NEW YORK TIMES)"
2023-11-11,Deforestation in Brazilian Amazon Falls to a Five-Year Low,4,"Tree loss was down 20 percent from the previous year, the environment minister announced. Deforestation in the Amazon rainforest in Brazil fell to a five-year low, the country's National Institute of Space Research announced on Thursday, a sign that Brazil, which has the biggest share of tropical forest in the world, was making progress on its pledge to halt all deforestation by the end of the decade.   The institute reported that 3,500 square miles had been clear-cut between August 2022 and July 2023, a 22.3 percent decrease from the same period a year earlier. The decline in tree loss is estimated to have reduced the country's greenhouse gas emissions by 7.5 percent. Brazil is the world's sixth largest emitter, by some measures.  ''Behind this was a political decision,'' Marina Silva, Brazil's environment minister, said on Thursday at a news conference. ''We are changing the image of the country when we change this reality.''  The announcement was an encouraging sign that local policies could change the trajectory of global forest loss. The world lost 10.2 million acres of primary forest in 2022, a 10 percent increase from the year before, according to an annual survey by the World Resources Institute. Brazil accounted for more than 40 percent of the destruction recorded.  The results were announced almost a year after President Luiz Inácio Lula da Silva took office in January. He said in his October 2022 victory speech that Brazil was ''ready to resume its leading role in the fight against the climate crisis.''  Two-thirds of the deforestation happened before Mr. Lula came into office, the government said. Under his predecessor, Jair Bolsonaro, deforestation rates climbed to a 15-year high as Mr. Bolsonaro's administration loosened environmental protection policies.  Environmental fines in the Amazon more than doubled under Mr. Lula, the government reported, as his administration sought to rebuild the forest's protection policies. Almost all of the deforestation in Brazil's Amazon rainforest is illegal, mostly the result of land grabbing and farmers' replacing trees with pasture.  Brazil isn't the only country making progress in the region. Colombia, which has a tenth of the Amazon rainforest, announced on Tuesday that deforestation rates there had fallen by 70 percent in the first nine months of the year.  But El Niño, the climate pattern that has helped cause a historic drought fueling major wildfires in the region, may jeopardize some of the progress in the region, the environment ministers of both countries acknowledged.  Wildfires have consumed more than 18,000 square miles of the Brazilian Amazon in the first nine months of the year, an area twice the size of Vermont.  More than a third of fires raging in the Brazilian Amazon are destroying old-growth forests, Ms. Silva said. ''It's a demonstration that the climate change is already impacting the forest,'' she added. https://www.nytimes.com/2023/11/09/climate/amazon-deforestation.html Graphic   This article appeared in print on page A12. "
2023-11-09,Deforestation in the Brazilian Amazon Falls to a Five-Year Low,5,"Tree loss was down 20 percent from the previous year, the environment minister announced. Deforestation in the Amazon rainforest in Brazil fell to a five-year low, the country’s National Institute of Space Research announced on Thursday, a sign that Brazil, which has the biggest share of tropical forest in the world, was making progress on its pledge to halt all deforestation by the end of the decade. The institute reported that 3,500 square miles had been clear-cut between August 2022 and July 2023, a 22.3 percent decrease from the same period a year earlier. The decline in tree loss is estimated to have reduced the country’s greenhouse gas emissions by 7.5 percent. Brazil is the world’s sixth largest emitter, by some measures. “Behind this was a political decision,” Marina Silva, Brazil’s environment minister, said on Thursday at a news conference. “We are changing the image of the country when we change this reality.” The announcement was an encouraging sign that local policies could change the trajectory of global forest loss. The world lost 10.2 million acres of primary forest in 2022, a 10 percent increase from the year before, according to an annual survey by the World Resources Institute. Brazil accounted for more than 40 percent of the destruction recorded. The results were announced almost a year after President Luiz Inácio Lula da Silva took office in January. He said in his October 2022 victory speech that Brazil was “ready to resume its leading role in the fight against the climate crisis.” Two-thirds of the deforestation happened before Mr. Lula came into office, the government said. Under his predecessor, Jair Bolsonaro, deforestation rates climbed to a 15-year high as Mr. Bolsonaro’s administration loosened environmental protection policies. Environmental fines in the Amazon more than doubled under Mr. Lula, the government reported, as his administration sought to rebuild the forest’s protection policies. Almost all of the deforestation in Brazil’s Amazon rainforest is illegal, mostly the result of land grabbing and farmers’ replacing trees with pasture. Brazil isn’t the only country making progress in the region. Colombia, which has a tenth of the Amazon rainforest, announced on Tuesday that deforestation rates there had fallen by 70 percent in the first nine months of the year. But El Niño, the climate pattern that has helped cause a historic drought fueling major wildfires in the region, may jeopardize some of the progress in the region, the environment ministers of both countries acknowledged. Wildfires have consumed more than 18,000 square miles of the Brazilian Amazon in the first nine months of the year, an area twice the size of Vermont. More than a third of fires raging in the Brazilian Amazon are destroying old-growth forests, Ms. Silva said. “It’s a demonstration that the climate change is already impacting the forest,” she added. This article appeared in print on page A12."
2023-09-06,"In the battle against Amazon deforestation, Brazil offers cash rewards to municipalities",6,"RIO DE JANEIRO — In a bid to slow deforestation in the Amazon, Brazil announced Tuesday that it will provide financial support to municipalities that have reduced deforestation rates the most. During the country´s Amazon Day, President Luiz Inácio Lula da Silva also signed the creation of two Indigenous territories that total 207,000 hectares — over two times the size of New York City — and of a network of conservation areas next to the Yanonami Indigenous Territory to act as a buffer against invaders, mostly illegal gold miners. “The Amazon is in a hurry to survive the devastation caused by those few people who refuse to see the future, who in a few years cut down, burned, and polluted what nature took millennia to create,” Lula said during a ceremony in Brasilia. “The Amazon is in a hurry to continue doing what it has always done, to be essential for life on Earth.” The new program will invest up to $120 million in technical assistance. The money will be allocated based on the municipality´s performance in reducing deforestation and fires, as measured by official satellite monitoring. A list of municipalities eligible for the funds will be published annually. The resources must be invested in land titling, monitoring and control of deforestation and fires, and sustainable production. The money will come from the Amazon Fund, which has received more than $1.2 billion, mostly from Norway, to help pay for sustainable development of the region. In February, the United States committed to a $50 million donation to the initiative. Two months later, President Joe Biden announced he would ask Congress for an additional $500 million, to be disbursed over five years. The most critical municipalities are located along the arc of deforestation, a vast region along the southern part of the Amazon. This region is a stronghold of former far-right President Jair Bolsonaro, who favored agribusiness over forest preservation and lost the reelection last year. “We believe that it’s not enough to just put up a sign saying ‘it’s forbidden to do this or that. We need to be persuasive."" Lula said, in a reference to his relationship with Amazon mayors and state governors. Lula has promised zero net deforestation by 2030, although his term ends two years earlier. In the first seven months of his third term, there was a 42% drop in deforestation. Brazil is the world’s fifth-largest emitter of greenhouse gases, with almost 3% of global emissions, according to Climate Watch, an online platform managed by World Resources Institute. Almost half of these emissions come from deforestation. Under the 2015 Paris Agreement, Brazil committed to reducing carbon emissions by 37% by 2025 and 43% by 2030. ___ Associated Press climate and environmental coverage receives support from several private foundations. See more about AP’s climate initiative here. The AP is solely responsible for all content."
2023-09-05,"In the battle against Amazon deforestation, Brazil offers cash rewards to municipalities",7,"RIO DE JANEIRO — In a bid to slow deforestation in the Amazon, Brazil announced Tuesday that it will provide financial support to municipalities that have reduced deforestation rates the most. During the country´s Amazon Day, President Luiz Inácio Lula da Silva also signed the creation of two Indigenous territories that total 207,000 hectares — over two times the size of New York City — and of a network of conservation areas next to the Yanonami Indigenous Territory to act as a buffer against invaders, mostly illegal gold miners. “The Amazon is in a hurry to survive the devastation caused by those few people who refuse to see the future, who in a few years cut down, burned, and polluted what nature took millennia to create,” Lula said during a ceremony in Brasilia. “The Amazon is in a hurry to continue doing what it has always done, to be essential for life on Earth.” The new program will invest up to $120 million in technical assistance. The money will be allocated based on the municipality´s performance in reducing deforestation and fires, as measured by official satellite monitoring. A list of municipalities eligible for the funds will be published annually. The resources must be invested in land titling, monitoring and control of deforestation and fires, and sustainable production. The money will come from the Amazon Fund, which has received more than $1.2 billion, mostly from Norway, to help pay for sustainable development of the region. In February, the United States committed to a $50 million donation to the initiative. Two months later, President Joe Biden announced he would ask Congress for an additional $500 million, to be disbursed over five years. The most critical municipalities are located along the arc of deforestation, a vast region along the southern part of the Amazon. This region is a stronghold of former far-right President Jair Bolsonaro, who favored agribusiness over forest preservation and lost the reelection last year. “We believe that it’s not enough to just put up a sign saying ‘it’s forbidden to do this or that. We need to be persuasive."" Lula said, in a reference to his relationship with Amazon mayors and state governors. Lula has promised zero net deforestation by 2030, although his term ends two years earlier. In the first seven months of his third term, there was a 42% drop in deforestation. Brazil is the world’s fifth-largest emitter of greenhouse gases, with almost 3% of global emissions, according to Climate Watch, an online platform managed by World Resources Institute. Almost half of these emissions come from deforestation. Under the 2015 Paris Agreement, Brazil committed to reducing carbon emissions by 37% by 2025 and 43% by 2030. ___ Associated Press climate and environmental coverage receives support from several private foundations. See more about AP’s climate initiative here. The AP is solely responsible for all content."
2023-08-08,Brazil is hosting the Amazon nations in a bid to save the world's largest rainforest,8,"Link to Image The eight South American countries that share the Amazon met in Brazil on Tuesday (Aug. 8) to outline a conservation strategy for the sprawling rainforest. The two-day summit, held in the city of Belém, marks the first time the Amazon Cooperation Treaty Organization (ACTO) has gathered in 12 years. The organization's resurgence is tied to the victory of Luiz Inácio Lula da Silva, known as Lula, in last year's Brazilian presidential election. Returning to office after 13 years, the progressive politician replaced Jair Bolsonaro, who undid decades of progress against deforestation during his four-year term. The ACTO nations-Bolivia, Brazil, Colombia, Ecuador, Guyana, Peru, Suriname, and Venezuela-are expected to join Lula's campaign pledge to halt all deforestation in the Amazon by 2030. They will also negotiate reforms aimed at preventing illegal mining and logging in the region. The landmark conference comes at a pivotal time for the Amazon, which climate scientists have warned is approaching a ""point of no return,"" where deforestation would result in the destruction of the biome. The forest is the world's largest carbon sink, storing as much as 733 gigatons of carbon, so it's a major factor in the global fight against climate change. The gathering will also expose rifts between theregion's left-wing leaders. Colombian president Gustavo Petro publicly called on Lula to reject a major oil drilling project near the mouth of the Amazon River, despite the potential for economic development in one of Brazil's poorest areas. In his first stint as president, Lula leveraged resource extraction projects to fund extensive social welfare programs, while still pursuing environmental goals. He has yet to announce his final decision on the oil project. Quotable: A new era in the Amazon ""Brazil is back""-Lula, in a speech to the COP27 climate conference last year, soon after his election win. Now, with the ACTO conference, he's trying to put his plans into action Amazon deforestation, by the digits: 33.6%: Decrease in deforestation across the Amazon during Lula's first six months in office. 17%: Share of the Amazon that has already been cleared by loggers. Almost 40% of the region is suffering from some form of environmental degradation, including for mining and agriculture. 2.72 million square miles (7.04 million square kilometers): Size of the Amazon, making it almost as big as the continental US. Related stories: Brazil is foregoing oil wealth in favor of environmental goals ✊ Latin America's pink tide is preparing for the green revolution Deforestation in the Amazon dropped by a third since Lula became president"
2023-07-07,Deforestation in the Amazon dropped by a third since Lula became president,9,"Link to Image In the first six months of his term, Brazil's president Luiz Inácio Lula da Silva has somewhat succeeding in curbing the damage his successor Jair Bolsonaro, the so-called Trump of the Tropics, did to the Amazon rainforest. Deforestation in the area dropped by 33.6%, satellite images showed. Data from a system called Deter, which managed by Brazil's National Institute for Space Research, showed that between January and June this year, the rainforest had alerts for possible deforestation covering 2,650 square kilometers (1,023 square miles), down from 4,000 square kilometers during the same period last year under Bolsonaro. ""The effort of reversing the curve of growth has been reached. That is a fact: we reversed the curve; deforestation isn't increasing,"" João Paulo Capobianco, the Environment Ministry's executive secretary, during a presentation. While it appears that Lula is making good on his campaign pledges to rein in illegal logging and undo the environmental crisis, it may be premature to celebrate the win. The dry season, when deforestation tends to jump, starts in June, and fires usually peak between July and November. And the picture for June wasn't promising. Last month, there were 3,075 fires in the Amazon-the most since 2007. But this wasn't the Lula government's doing apparently. The jump is due to clearing of areas deforested in the second half of 2022, Jair Schmitt, head of environmental protection at Ibama, Brazil's federal environmental agency, told The Associated Press. Quotable: Brazil is curbing Amazon deforestation ""Brazil will once again become a global reference in sustainability, tackling climate change, and achieving targets for carbon emission reduction and zero deforestation,"" -Lula in a speech in early June, when his government laid out its plans to halt deforestation in the Amazon by 2030 Amazon deforestation, by the digits 60%: How much of the Amazon rainforest lies in Brazil 40 million: People who live in the Amazon, including over 500 indigenous and ethnic groups 2 billion: Trees felled in the Amazon during Bolsonaro's four years as president. That's 15 per second 10%: Reduction in environment-related staffing in Bolsonaro's government 1,500: New pesticides approved under Bolsonaro's rule; many with ingredients that are banned in the EU 20: Environmental activists killed in Brazil in 2021 (Bolsonaro has called environmental NGOs ""cancers"") 17%: Forest's area that has been lost as of last year. At 20-25%-which would've been breached under Bolsonaro-the Amazon would reach a ""tipping point"" after which it would lose its ability to regenerate trees, and large areas would become savannah, affecting its ability to absorb carbon emissions. In 2021, parts of the Amazon were already emitting more greenhouse gasses than they were absorbing 72%: How much Amazon's deforestation rate declined between 2004 and 2016, during Lula and the Workers' party's previous terms in office 89%: Expected decrease in Amazon deforestation over the next decade in case of a Bolsonaro defeated in the 2022 Brazilian presidential election, as per an October 2022 Carbon Brief analysis Person of Interest: Luiz Inácio Lula da Silva aka Lula The left-wing leader garnered huge popularity for his welfare policies, making strides in solving Brazil's hunger crisis and redistributing wealth, lifting at least 20 million Brazilians out of poverty, when he was president between 2003 and 2010. However, the septuagenarian couldn't run for office in 2018 because of corruption and money laundering convictions the year prior. But these were voided by the Brazilian Supreme Court in 2021. He came back last year with plans of environmental policy overhaul-including tackling illegal logging, aiming for net-zero deforestation, and delivering on emissions targets. He also publicly committed to policies such as introducing carbon pricing and issuing new financial incentives for sustainable farming. Getting Brazil's climate action back on track Brazil is the largest economy, greenhouse gas emitter, and energy consumer in South America, but the impact of its climate action reverberates across the world as the Amazon rainforest is one of the planet's largest carbon sinks. Further deforestation would create dire circumstances comprising worsening air quality, severe drought, loss of biodiversity and extinction of endangered species, rise in respiratory disease, a heightened risk of ""zoonotic spillover"" that would cause more pandemics, and an increase in the frequency and intensity of extreme weather events around the globe. The Lula government is aware of those risks and is taking steps to mitigate the threats. It has strengthened remote surveillance via satellite imagery, the AP reported, citing Schmitt. By cross-referencing land records, owners of deforested areas are identified and sanctioned with restricted access to financial loans and other measures.  The government has doubled deforestation fines and it has also been seizing illegally raised cattle within embargoed areas. It's a form of ""immediate punishment"" instead of relying on a rarely-footed slow-moving fines and appeals process, Schmitt said. But there's one gap left to fill: Lula needs more environmental officers. The Brazilian government's environmental agency, Ibama, had no new hires between 2014 and 2020. Combined with Bolsonaro's trimming of the federal agency headcount, the leftover workforce is sparse and overworked. The number of Ibama's enforcement agents is at its lowest in 24 years. The are just 700 agents, with 150 available for deployment. And beefing up the staff is a long and winding process. The government put out a call for new Ibama hires, but it takes at least 10 months before new agents are in the field, due to rules about public-sector hiring and training for such dangerous missions. Related stories Brazil's election winner will play a key role in the climate crisis Brazil is failing to stop illegal logging of the Amazon ✊ Latin America's pink tide is preparing for the green revolution"
2023-08-09,8 Nations Reach Pact to Protect Amazon Rainforest,10,"The eight countries that comprise the Amazon River basin agreed on several initiatives to curtail deforestation in the world's largest and most important rainforest. On Tuesday, the leaders of eight countries that are home to the Amazon River basin agreed to work together to conserve the world's largest rainforest at a groundbreaking meeting convened by President Luiz Inácio Lula da Silva of Brazil.   The agreement, called the Belém Declaration, for the Brazilian city where the meeting was held, provides a road map to stave off the rampant deforestation, caused in large part by industrial agriculture and land-grabbing, that has severely damaged the rainforest and has major implications for Earth's climate.  The meeting was also expected to yield a separate agreement on Wednesday among other nations with major rainforests -- including the Democratic Republic of Congo, the Republic of Congo and Indonesia -- to more closely coordinate protecting the ecosystems globally.  The Amazon rainforest is not only a haven of biodiversity but also plays an important role in the fight against climate change because it pulls huge amounts of planet-warming carbon dioxide out of the atmosphere and stores it away. Over the past half-century, around 17 percent of the forest has been razed and an even bigger share is severely degraded.  Numerous studies have indicated that further deforestation would be disastrous to tens of thousands of species and transform the Amazon into a net emitter, rather than absorber, of greenhouse gases. Parts of it have already reached that point.  The summit meeting was part of Mr. Lula's efforts to galvanize a climate-conscious coalition of countries seven months after he unseated Jair Bolsonaro, whose four-year term as president was marked by strident support for Brazil's right to clear vast tracts of land for its economic benefit.  Mr. Lula made Amazon protection a cornerstone of his election campaign. Deforestation rates have dropped by 42 percent during his tenure, according to preliminary satellite imaging data.  ''The Amazon is our passport to a new relationship with the world, a more symmetrical relationship in which our resources will not be exploited for the benefit of a few, but valued and placed at the service of all,'' Mr. Lula said in a speech at the meeting.  The agreement sets the groundwork for coordination between the Amazon basin's eight countries on law enforcement to combat widespread illegal mining and logging, as well as between banks assigned to pool development funds for conservation and sustainable employment for the region's inhabitants. It also creates an Amazon-specific climate-focused scientific panel.  While the agreement projected symbolic unity, it fell short of the biggest ambitions Mr. Lula had hoped to realize.  For months before the summit, Mr. Lula pushed the leaders of Bolivia and Venezuela to commit to ending deforestation in their countries by 2030, a pledge the six other Amazon basin countries had already made at the global climate summit in Glasgow in 2021. Colombia's president, Gustavo Petro, who has adopted the region's most progressive policies on conservation, had in turn pushed Mr. Lula to match his commitment to ban all oil drilling the forest, but Brazil still has plans for a huge offshore project at the mouth of the Amazon River.  Neither push succeeded.  Eduardo Viola, who studies environmental international affairs at the Fundação Getúlio Vargas in Brazil, said there was no doubt the summit marked the most significant step Amazon countries have made to protect the forest, but it may not be enough. ''The commitments vary a lot, and the implementation capacity outside Brazil is low, or very low,'' he said.  The expected announcement on Wednesday of further cooperation among other countries that are home to the most of the rest of the world's rainforests could include efforts to increase access to financing from wealthier nations that would promote sustainable forest use.  The foundation for that agreement was laid last year at COP27, the United Nations-sponsored global climate summit, which was held in Egypt. Belém, the city where this week's Amazon negotiations have taken place, is set to host COP30 in 2025.  The meeting in Belém provided Mr. Lula and others a venue to harshly criticize wealthy countries, particularly Western ones, for not delivering on a promise made in at the U.N. climate summit in 2009 to provide $100 billion in climate finance annually to poorer nations.  Historically, leftists in the region have pushed for more environmental protections. Mr. Lula and Mr. Petro, whose countries are home to nearly three-quarters of the remaining Amazon rainforest, went beyond that and have made conservation a cornerstone of their presidencies.  Under Mr. Petro, Colombia has sought to position itself as a leader on climate issues, with a push to phase out oil drilling, which would be a first for any of the world's oil-drilling nations.  Despite the projection of unity, analysts said political crises wracking numerous Amazon Basin countries contributed to the limited scope of the Belém Declaration. Under the authoritarian leadership of Nicolás Maduro, Venezuela is enduring a crushing economic meltdown. Peru has had five presidents in the past four years. And Ecuador is holding early elections this month after its president dissolved Congress.  Neither the Venezuelan nor the Ecuadorean president was present at the summit. https://www.nytimes.com/2023/08/08/climate/amazon-rainforest-belem-protections.html Graphic   PHOTO: From left, Presidents Gustavo Petro of Colombia, Luis Inácio Lula da Silva of Brazil and Luis Arce of Bolivia on Tuesday in Belém, Brazil, where they and five other leaders signed a conservation deal. (PHOTOGRAPH BY ANTONIO LACERDA/EPA, VIA SHUTTERSTOCK) This article appeared in print on page A5. "
