"","id","created_time","snippet","headline"
"1",1,"2025-06-24T15:02:23Z","Extreme heat is making air pollution worse, scientists say. And President Trump’s regulatory rollbacks could drive air pollution even higher.","Extreme Heat Is Exacerbating Air Pollution, a ‘Double Whammy’ for Health"
"2",2,"2025-06-24T09:01:29Z","Essential advice to get you through a heat wave.","7 Tips for Managing Extreme Heat"
"3",3,"2026-03-16T09:30:05Z","Meteorologists are not mincing words in their forecasts for record-high temperatures in California and the desert Southwest.","‘Dangerous’ and ‘Unprecedented’: How Bad Will This March Heat Wave Get?"
"4",4,"2025-06-25T09:01:42Z","It’s not just miserable. It hurts productivity, military readiness, agriculture and health.","Extreme Heat Is Breaking America"
"5",5,"2025-07-28T16:21:05Z","More than 11 million people across southern Georgia and most of Florida were under a rare “extreme” heat warning.","Extreme Heat Persists in the Southeast on Tuesday"
"6",6,"2025-07-03T17:21:19Z","Power plant operators in Switzerland and France idled reactors so that discharged cooling water would not harm wildlife in already-hot rivers.","Extreme Heat Shuts Down Some Nuclear Reactors in Europe"
"7",7,"2025-06-13T20:09:34Z","Hot weather influences aircraft performance. We asked experts what it means for safety.","How Is Extreme Heat Affecting Air Travel?"
"8",8,"2025-07-25T07:00:04Z","A reporter followed a ride-hailing motorcycle driver in Karachi, where temperatures regularly exceed 104 degrees Fahrenheit.","Documenting the Effects of Extreme Heat in Pakistan"
"9",9,"2025-11-27T10:00:55Z","The city’s new climate budgeting program is investing billions in keeping the city cool as the climate gets hotter.","How New York Is Making Its Neighborhoods Cooler"
"10",10,"2025-09-13T09:02:26Z","Governments around the world are enacting measures to try to protect workers from the dangers of heat stress. They’re barely keeping up with the risks.","Extreme Heat Spurs New Laws Aimed at Protecting Workers Worldwide"
"11",1,"2025-06-24T20:51:20Z","Sweltering temperatures not seen in Toronto in nearly a decade have prompted health alerts, pool closures and warnings to students to expect “uncomfortable conditions.”","Canada’s Biggest City Wilts Under Intense Heat"
"12",2,"2025-06-25T14:24:17Z","After days of record-breaking heat, some cooling is expected in the Eastern United States starting Thursday.","Brutal Temperatures Expected for Many on Wednesday, but Relief Is Near"
"13",3,"2025-03-24T12:53:19Z","A new report illustrates a concerning dynamic: Record heat last year pushed countries to use more planet-warming fossil fuels to cool things down.","The Vicious Cycle of Extreme Heat Leading to More Fossil Fuel Use"
"14",4,"2025-09-02T09:03:35Z","Our reporter hits the treadmill to understand how scientists study extreme heat.","Cue the Sun: This Lab Recreates Hot, Sweaty Days to Test Humans"
"15",5,"2025-06-29T15:43:06Z","Extreme heat has gripped countries including France, Greece, Italy, Portugal and Spain, with record temperatures, health alerts and wildfires.","Europe Endures Relentless Heat Wave"
"16",6,"2025-08-13T11:46:53Z","Firefighters were struggling to tame blazes in several countries in southern Europe, including Albania, Greece, Montenegro and Spain, and in Turkey.","Europe Battles Deadly Wildfires as High Winds Fuel Flames"
"17",7,"2025-08-20T09:00:32Z","Heat waves are increasingly dangerous for those without water, shade and air-conditioning.","The New American Inequality: The Cooled vs. the Cooked"
"18",8,"2026-03-17T09:03:43Z","Snow, tornadoes, record-breaking heat, a dust storm — and that’s just last weekend. Here’s how to understand what’s going on, and the role climate change is playing in all of it.","March Has Always Been a Month of Weather Extremes. But This Is Ridiculous."
"19",9,"2025-07-17T20:21:07Z","Temperatures are scorching, and they probably haven’t peaked yet.","Heat Season Is Off to a Roaring Start"
"20",10,"2025-02-26T19:47:40Z","A first-of-its-kind analysis found that people living in hotter areas experienced more molecular changes than those in cooler places.","Extreme Heat Linked to Accelerated Aging in Older Adults, Study Finds"
"21",1,"2025-11-16T05:01:14Z","Prolonged exposure to hot weather can hinder people’s ability to lead safe and productive lives, experts say.","Women Toiling in India’s Insufferable Heat Face Mounting Toll on Health"
"22",2,"2026-03-30T09:02:30Z","Inmates in Texas prisons want a federal court to force the state to provide air-conditioning for all of its prison cells.","Federal Trial Opens Over Lack of Air-Conditioning in Texas Prisons"
"23",3,"2026-01-14T03:05:00Z","Last year was Earth’s third hottest globally, but temperature is just one measure of climate change’s influence.","2025: A Year of Fire and Floods"
"24",4,"2025-11-16T05:01:13Z","Officials have yet to grasp the magnitude of heat-related deaths, let alone effectively deal with the problem, public health experts and scientists say.","How Many People Die in India From Hot Weather? Nobody Really Knows."
"25",5,"2026-03-18T22:52:30Z","Wednesday was the hottest March day ever in many cities across California, Nevada and Arizona. Phoenix recorded its earliest 100-degree day.","The West Probably Hasn’t Seen the Worst of This Week’s Heat Wave"
"26",6,"2025-09-16T18:13:40Z","Heat waves and flooding could cost the European Union $50 billion in damage to buildings and crops as well as a loss of productivity, a new study found.","Europe’s Extreme Summer Weather Could Cost It Billions"
"27",7,"2026-01-08T18:54:40Z","The country is in the midst of a record-breaking heat wave, with temperatures well above 100 degrees Fahrenheit. Multiple bush fires were burning in the state of Victoria.","Three Reported Missing in Australia as Fires Rage in ‘Catastrophic’ Conditions"
"28",8,"2026-03-14T09:30:04Z","Soaring temperatures across California and the Southwest are expected to break records for March.","5 Things to Know About the Unusual March Heat Wave in the West"
"29",9,"2026-02-12T18:45:05Z","The Environmental Protection Agency rejected the bedrock scientific finding that greenhouse gases threaten human life and well being. It means the agency can no longer regulate them.","Trump Administration Erases the Government’s Power to Fight Climate Change"
"30",10,"2025-08-28T19:28:52Z","A season of record wildfires and a wave of extreme heat is forcing Europe to confront difficult questions about how to adapt.","Climate Change Is Transforming Summer in Europe"
